iter	Passed	Remaining
752	2646	868
753	2649	864
754	2652	860
755	2654	856
756	2657	853
757	2660	849
758	2662	845
759	2666	841
760	2669	838
761	2671	834
762	2674	830
763	2677	827
764	2680	823
765	2682	819
766	2685	815
767	2688	812
768	2690	808
769	2693	804
770	2696	801
771	2699	797
772	2702	793
773	2705	789
774	2708	786
775	2711	782
776	2713	778
777	2716	775
778	2719	771
779	2721	767
780	2725	764
781	2728	760
782	2730	756
783	2732	752
784	2735	749
785	2738	745
786	2741	741
787	2743	738
788	2746	734
789	2749	730
790	2752	727
791	2755	723
792	2758	719
793	2760	716
794	2762	712
795	2765	708
796	2768	705
797	2771	701
798	2774	697
799	2777	694
800	2780	690
801	2783	687
802	2786	683
803	2788	679
804	2791	676
805	2793	672
806	2797	669
807	2800	665
808	2803	661
809	2806	658
810	2808	654
811	2811	650
812	2813	647
813	2816	643
814	2819	639
815	2822	636
816	2824	632
817	2827	629
818	2830	625
819	2833	622
820	2837	618
821	2840	615
822	2843	611
823	2846	607
824	2848	604
825	2851	600
826	2853	597
827	2856	593
828	2859	589
829	2862	586
830	2864	582
831	2867	578
832	2869	575
833	2872	571
834	2875	568
835	2877	564
836	2880	560
837	2882	557
838	2884	553
839	2888	550
840	2891	546
841	2894	543
842	2897	539
843	2900	536
844	2903	532
845	2906	529
846	2909	525
847	2912	522
848	2915	518
849	2918	515
850	2922	511
851	2925	508
852	2928	504
853	2931	501
854	2934	497
855	2937	494
856	2940	490
857	2942	487
858	2946	483
859	2949	480
860	2952	476
861	2955	473
862	2958	469
863	2962	466
864	2966	462
865	2969	459
866	2972	455
867	2975	452
868	2979	449
869	2982	445
870	2985	442
871	2988	438
872	2991	435
873	2994	431
874	2998	428
875	3001	424
876	3004	421
877	3007	417
878	3010	414
879	3012	410
880	3016	407
881	3018	403
882	3021	400
883	3024	396
884	3027	393
885	3030	389
886	3033	386
887	3036	382
888	3039	379
889	3042	376
890	3044	372
891	3047	369
892	3050	365
893	3054	362
894	3056	358
895	3058	355
896	3061	351
897	3063	347
898	3066	344
899	3069	341
900	3071	337
901	3074	333
902	3076	330
903	3078	326
904	3082	323
905	3085	320
906	3087	316
907	3090	313
908	3093	309
909	3095	306
910	3099	302
911	3101	299
912	3104	295
913	3106	292
914	3109	288
915	3111	285
916	3114	281
917	3117	278
918	3119	274
919	3121	271
920	3124	267
921	3126	264
922	3129	261
923	3134	257
924	3137	254
925	3139	250
926	3142	247
927	3144	243
928	3147	240
929	3149	237
930	3152	233
931	3154	230
932	3157	226
933	3159	223
934	3162	219
935	3164	216
936	3166	212
937	3168	209
938	3171	206
939	3174	202
940	3176	199
941	3179	195
942	3181	192
943	3184	188
944	3187	185
945	3190	182
946	3192	178
947	3194	175
948	3197	171
949	3199	168
950	3202	165
951	3205	161
952	3207	158
953	3210	154
954	3212	151
955	3215	147
956	3217	144
957	3219	141
958	3222	137
959	3224	134
960	3226	130
961	3229	127
962	3231	124
963	3234	120
964	3236	117
965	3238	113
966	3241	110
967	3243	107
968	3246	103
969	3248	100
970	3251	97
971	3254	93
972	3256	90
973	3258	86
974	3261	83
975	3263	80
976	3266	76
977	3268	73
978	3270	70
979	3272	66
980	3275	63
981	3278	60
982	3280	56
983	3283	53
984	3285	50
985	3288	46
986	3292	43
987	3295	40
988	3297	36
989	3300	33
990	3302	29
991	3305	26
992	3308	23
993	3311	19
994	3313	16
995	3316	13
996	3318	9
997	3321	6
998	3324	3
999	3327	0
